name,utm-easting,utm-northing
GRSM_001.basePlot.div.40.1.1,270849.24928,3951921.79604
GRSM_001.basePlot.div.40.3.1,270849.20957,3951930.78949
GRSM_001.basePlot.div.41.1.1,270858.82655,3951920.88288
GRSM_001.basePlot.div.41.4.1,270867.99631,3951928.75062
GRSM_001.basePlot.div.31.1.1,270849.71581,3951911.79243
GRSM_001.basePlot.div.31.4.1,270857.80514,3951919.91007
GRSM_001.basePlot.div.32.2.1,270867.96523,3951909.98946
GRSM_001.basePlot.div.32.4.1,270867.9255,3951918.9829
GRSM_003.basePlot.div.40.1.1,276034.98522,3950904.76456
GRSM_003.basePlot.div.40.3.1,276034.94015,3950913.75771
GRSM_003.basePlot.div.41.1.1,276044.53574,3950902.74764
GRSM_003.basePlot.div.41.4.1,276052.72531,3950911.42223
GRSM_003.basePlot.div.31.1.1,276033.83113,3950894.91354
GRSM_003.basePlot.div.31.4.1,276043.60536,3950901.77198
GRSM_003.basePlot.div.32.2.1,276054.52139,3950892.83789
GRSM_003.basePlot.div.32.4.1,276054.47631,3950901.83103
GRSM_007.basePlot.div.40.1.1,272496.83487,3952132.89559
GRSM_007.basePlot.div.40.3.1,272496.79351,3952141.88895
GRSM_007.basePlot.div.41.1.1,272504.49417,3952131.36722
GRSM_007.basePlot.div.41.4.1,272514.54494,3952141.87835
GRSM_007.basePlot.div.31.1.1,272494.8168,3952121.2906
GRSM_007.basePlot.div.31.4.1,272503.47298,3952130.39424
GRSM_007.basePlot.div.32.2.1,272512.9161,3952120.71602
GRSM_007.basePlot.div.32.4.1,272512.96523,3952129.70705
GRSM_008.basePlot.div.40.1.1,275344.53888,3951200.06017
GRSM_008.basePlot.div.40.3.1,275344.58506,3951209.05107
GRSM_008.basePlot.div.41.1.1,275353.47779,3951198.94605
GRSM_008.basePlot.div.41.4.1,275361.76957,3951208.0615
GRSM_008.basePlot.div.31.1.1,275343.64997,3951189.98045
GRSM_008.basePlot.div.31.4.1,275352.45684,3951197.97274
GRSM_008.basePlot.div.32.2.1,275360.59662,3951190.32906
GRSM_008.basePlot.div.32.4.1,275360.55227,3951199.32224
GRSM_009.basePlot.div.40.1.1,274623.34726,3950302.9057
GRSM_009.basePlot.div.40.3.1,274623.30356,3950311.89891
GRSM_009.basePlot.div.41.1.1,274632.92918,3950302.10765
GRSM_009.basePlot.div.41.4.1,274642.13059,3950311.31048
GRSM_009.basePlot.div.31.1.1,274622.01053,3950293.05938
GRSM_009.basePlot.div.31.4.1,274631.90805,3950301.13442
GRSM_009.basePlot.div.32.2.1,274641.46004,3950292.01111
GRSM_009.basePlot.div.32.4.1,274641.50685,3950301.00203
GRSM_012.basePlot.div.40.1.1,275376.23533,3950271.74477
GRSM_012.basePlot.div.40.3.1,275376.19086,3950280.73795
GRSM_012.basePlot.div.41.1.1,275386.38569,3950271.93229
GRSM_012.basePlot.div.41.4.1,275396.41787,3950281.78093
GRSM_012.basePlot.div.31.1.1,275375.18785,3950262.55717
GRSM_012.basePlot.div.31.4.1,275385.36465,3950270.95898
GRSM_012.basePlot.div.32.2.1,275393.18614,3950261.43622
GRSM_012.basePlot.div.32.4.1,275393.14166,3950270.4294
GRSM_055.basePlot.div.40.1.1,273554.33395,3951955.66905
GRSM_055.basePlot.div.40.3.1,273554.38202,3951964.66004
GRSM_055.basePlot.div.41.1.1,273565.18972,3951955.17028
GRSM_055.basePlot.div.41.4.1,273572.74177,3951963.63693
GRSM_055.basePlot.div.31.1.1,273553.06681,3951945.04392
GRSM_055.basePlot.div.31.4.1,273564.16581,3951954.08623
GRSM_055.basePlot.div.32.2.1,273572.07998,3951944.78126
GRSM_055.basePlot.div.32.4.1,273572.12803,3951953.77225
GRSM_058.basePlot.div.40.1.1,273283.17223,3952676.19225
GRSM_058.basePlot.div.40.3.1,273283.22064,3952685.18326
GRSM_058.basePlot.div.41.1.1,273292.67805,3952676.06059
GRSM_058.basePlot.div.41.4.1,273302.78379,3952685.23891
GRSM_058.basePlot.div.31.1.1,273283.33599,3952668.41699
GRSM_058.basePlot.div.31.4.1,273291.74468,3952674.97426
GRSM_058.basePlot.div.32.2.1,273301.90916,3952665.16746
GRSM_058.basePlot.div.32.4.1,273301.86705,3952674.16078
GRSM_059.basePlot.div.40.1.1,273163.15746,3952076.22125
GRSM_059.basePlot.div.40.3.1,273163.11542,3952085.21457
GRSM_059.basePlot.div.41.1.1,273171.72199,3952074.67035
GRSM_059.basePlot.div.41.4.1,273180.96587,3952085.53583
GRSM_059.basePlot.div.31.1.1,273162.26039,3952065.91973
GRSM_059.basePlot.div.31.4.1,273170.79138,3952073.69498
GRSM_059.basePlot.div.32.2.1,273181.44871,3952065.42972
GRSM_059.basePlot.div.32.4.1,273181.40665,3952074.42304
